,week,n_1,n_2,n_3,top n_1,top n_2,top n_3
17,33,"[{'ngram': 'images', 'count': 6}, {'ngram': 'thanks', 'count': 5}, {'ngram': 'c9', 'count': 4}, {'ngram': 'connection', 'count': 4}, {'ngram': 'issues', 'count': 4}, {'ngram': 'it', 'count': 4}, {'ngram': 'timeout', 'count': 4}, {'ngram': 'vnc', 'count': 4}, {'ngram': 'able', 'count': 3}, {'ngram': 'c10', 'count': 3}]","[{'ngram': '12 pack', 'count': 1}, {'ngram': '14 tips', 'count': 1}, {'ngram': '15mins it', 'count': 1}, {'ngram': '1min connection', 'count': 1}, {'ngram': '25 8k', 'count': 1}, {'ngram': '5minutes example', 'count': 1}, {'ngram': '8k manually', 'count': 1}, {'ngram': 'able explain', 'count': 1}, {'ngram': 'able override', 'count': 1}, {'ngram': 'able prove', 'count': 1}]","[{'ngram': '12 pack pepperoni', 'count': 1}, {'ngram': '14 tips guide', 'count': 1}, {'ngram': '15mins it probably', 'count': 1}, {'ngram': '1min connection timeout', 'count': 1}, {'ngram': '25 8k manually', 'count': 1}, {'ngram': '5minutes example nice', 'count': 1}, {'ngram': '8k manually reprocessed', 'count': 1}, {'ngram': 'able override default', 'count': 1}, {'ngram': 'able prove hypothesis', 'count': 1}, {'ngram': 'advance notice possible', 'count': 1}]","[('images', 6)]","[('12 pack', 1), ('14 tips', 1), ('15mins it', 1), ('1min connection', 1), ('25 8k', 1), ('5minutes example', 1), ('8k manually', 1), ('able explain', 1), ('able override', 1), ('able prove', 1)]","[('12 pack pepperoni', 1), ('14 tips guide', 1), ('15mins it probably', 1), ('1min connection timeout', 1), ('25 8k manually', 1), ('5minutes example nice', 1), ('8k manually reprocessed', 1), ('able override default', 1), ('able prove hypothesis', 1), ('advance notice possible', 1)]"
18,34,"[{'ngram': '08', 'count': 44}, {'ngram': '2022', 'count': 42}, {'ngram': 'upload', 'count': 42}, {'ngram': 'highres', 'count': 41}, {'ngram': 'xray', 'count': 41}, {'ngram': '18', 'count': 22}, {'ngram': '19', 'count': 14}, {'ngram': 'gsai', 'count': 12}, {'ngram': 'edge', 'count': 11}, {'ngram': 'gs', 'count': 10}]","[{'ngram': '08 2022', 'count': 41}, {'ngram': 'highres upload', 'count': 41}, {'ngram': 'xray highres', 'count': 41}, {'ngram': '18 08', 'count': 22}, {'ngram': 'upload 18', 'count': 22}, {'ngram': '19 08', 'count': 13}, {'ngram': 'upload 19', 'count': 13}, {'ngram': 'gs edge', 'count': 10}, {'ngram': '17 08', 'count': 5}, {'ngram': 'upload 17', 'count': 5}]","[{'ngram': 'xray highres upload', 'count': 41}, {'ngram': '18 08 2022', 'count': 22}, {'ngram': 'highres upload 18', 'count': 22}, {'ngram': 'upload 18 08', 'count': 22}, {'ngram': '19 08 2022', 'count': 13}, {'ngram': 'highres upload 19', 'count': 13}, {'ngram': 'upload 19 08', 'count': 13}, {'ngram': '17 08 2022', 'count': 5}, {'ngram': 'highres upload 17', 'count': 5}, {'ngram': 'upload 17 08', 'count': 5}]","[('08', 44)]","[('08 2022', 41), ('highres upload', 41), ('xray highres', 41)]","[('xray highres upload', 41)]"
19,35,"[{'ngram': 'running', 'count': 13}, {'ngram': 'images', 'count': 11}, {'ngram': 'akshay', 'count': 10}, {'ngram': 'machine', 'count': 10}, {'ngram': 'curtain', 'count': 7}, {'ngram': 'get', 'count': 7}, {'ngram': 'nestle', 'count': 7}, {'ngram': 'right', 'count': 7}, {'ngram': 'vnc', 'count': 7}, {'ngram': 'vpn', 'count': 7}]","[{'ngram': 'better process', 'count': 3}, {'ngram': 'high res', 'count': 3}, {'ngram': 'res images', 'count': 3}, {'ngram': 'ssl vpn', 'count': 3}, {'ngram': 'black images', 'count': 2}, {'ngram': 'can find', 'count': 2}, {'ngram': 'cost effective', 'count': 2}, {'ngram': 'curtain beam', 'count': 2}, {'ngram': 'dt plane', 'count': 2}, {'ngram': 'fixed curtain', 'count': 2}]","[{'ngram': 'getting black images', 'count': 2}, {'ngram': 'high res images', 'count': 2}, {'ngram': '12 count product', 'count': 1}, {'ngram': '12ct pep evening', 'count': 1}, {'ngram': '16 30 utc', 'count': 1}, {'ngram': '16hours worked fine', 'count': 1}, {'ngram': '17 40 utc', 'count': 1}, {'ngram': '1w uzidqko2t_fzyygfbr6ppbegv9rrlesvc5jtptcf4 edit', 'count': 1}, {'ngram': '2000 products reject', 'count': 1}, {'ngram': '24 48 hours', 'count': 1}]","[('running', 13)]","[('better process', 3), ('high res', 3), ('res images', 3), ('ssl vpn', 3)]","[('getting black images', 2), ('high res images', 2)]"
20,36,"[{'ngram': 'c8', 'count': 9}, {'ngram': 'access', 'count': 8}, {'ngram': 'ticket', 'count': 8}, {'ngram': 'get', 'count': 7}, {'ngram': 'please', 'count': 7}, {'ngram': 'correctly', 'count': 6}, {'ngram': 'look', 'count': 6}, {'ngram': 'machine', 'count': 6}, {'ngram': 'need', 'count': 6}, {'ngram': 'nestle', 'count': 6}]","[{'ngram': 'dc sync', 'count': 3}, {'ngram': 'fan board', 'count': 3}, {'ngram': 'imaging correctly', 'count': 3}, {'ngram': 'sync loss', 'count': 3}, {'ngram': 'able remote', 'count': 2}, {'ngram': 'back on', 'count': 2}, {'ngram': 'black images', 'count': 2}, {'ngram': 'black screen', 'count': 2}, {'ngram': 'board noticed', 'count': 2}, {'ngram': 'came loose', 'count': 2}]","[{'ngram': 'dc sync loss', 'count': 3}, {'ngram': 'docs google com', 'count': 2}, {'ngram': 'edit usp sharing', 'count': 2}, {'ngram': 'google com spreadsheets', 'count': 2}, {'ngram': 'https docs google', 'count': 2}, {'ngram': 'pm utc 2022', 'count': 2}, {'ngram': 'seeing black images', 'count': 2}, {'ngram': '02 02 29', 'count': 1}, {'ngram': '02 29 26', 'count': 1}, {'ngram': '05 11 48', 'count': 1}]","[('c8', 9)]","[('dc sync', 3), ('fan board', 3), ('imaging correctly', 3), ('sync loss', 3)]","[('dc sync loss', 3)]"
21,37,"[{'ngram': 'time', 'count': 22}, {'ngram': 'com', 'count': 20}, {'ngram': 'us', 'count': 16}, {'ngram': 'amazonaws', 'count': 15}, {'ngram': 'c9', 'count': 15}, {'ngram': 'it', 'count': 15}, {'ngram': 'east', 'count': 14}, {'ngram': 'nestle', 'count': 12}, {'ngram': 'one', 'count': 12}, {'ngram': 'kinesis', 'count': 11}]","[{'ngram': 'amazonaws com', 'count': 14}, {'ngram': 'east amazonaws', 'count': 14}, {'ngram': 'us east', 'count': 14}, {'ngram': 'kinesis us', 'count': 8}, {'ngram': 'monitoring us', 'count': 6}, {'ngram': 'http kinesis', 'count': 4}, {'ngram': 'c8 right', 'count': 3}, {'ngram': 'com monitoring', 'count': 3}, {'ngram': 'decided open', 'count': 3}, {'ngram': 'helpdesk ticket', 'count': 3}]","[{'ngram': 'east amazonaws com', 'count': 14}, {'ngram': 'us east amazonaws', 'count': 14}, {'ngram': 'kinesis us east', 'count': 8}, {'ngram': 'monitoring us east', 'count': 6}, {'ngram': 'http kinesis us', 'count': 4}, {'ngram': 'amazonaws com monitoring', 'count': 3}, {'ngram': 'com monitoring us', 'count': 3}, {'ngram': 'http monitoring us', 'count': 3}, {'ngram': '15 36 69', 'count': 2}, {'ngram': 'amazonaws com 15', 'count': 2}]","[('time', 22)]","[('amazonaws com', 14), ('east amazonaws', 14), ('us east', 14)]","[('east amazonaws com', 14), ('us east amazonaws', 14)]"
22,38,"[{'ngram': 'machines', 'count': 7}, {'ngram': 'line', 'count': 4}, {'ngram': 'nestle', 'count': 4}, {'ngram': 'rejects', 'count': 4}, {'ngram': 'back', 'count': 3}, {'ngram': 'change', 'count': 3}, {'ngram': 'connected', 'count': 3}, {'ngram': 'control', 'count': 3}, {'ngram': 'get', 'count': 3}, {'ngram': 'inspections', 'count': 3}]","[{'ngram': 'inspections needed', 'count': 2}, {'ngram': 'north line', 'count': 2}, {'ngram': '12 ct', 'count': 1}, {'ngram': '12 pack', 'count': 1}, {'ngram': '24v power', 'count': 1}, {'ngram': 'able change', 'count': 1}, {'ngram': 'accesses machines', 'count': 1}, {'ngram': 'already left', 'count': 1}, {'ngram': 'analytics show', 'count': 1}, {'ngram': 'analyzed tuned', 'count': 1}]","[{'ngram': '12 ct sw', 'count': 1}, {'ngram': '12 pack meatball', 'count': 1}, {'ngram': '24v power supply', 'count': 1}, {'ngram': 'able change next', 'count': 1}, {'ngram': 'accesses machines via', 'count': 1}, {'ngram': 'already left travel', 'count': 1}, {'ngram': 'analytics show product', 'count': 1}, {'ngram': 'analyzed tuned inspections', 'count': 1}, {'ngram': 'anything rejects high', 'count': 1}, {'ngram': 'around traffic blocked', 'count': 1}]","[('machines', 7)]","[('inspections needed', 2), ('north line', 2)]","[('12 ct sw', 1), ('12 pack meatball', 1), ('24v power supply', 1), ('able change next', 1), ('accesses machines via', 1), ('already left travel', 1), ('analytics show product', 1), ('analyzed tuned inspections', 1), ('anything rejects high', 1), ('around traffic blocked', 1)]"
23,39,"[{'ngram': 'c8', 'count': 43}, {'ngram': 'c9', 'count': 36}, {'ngram': 'ui', 'count': 20}, {'ngram': 'data', 'count': 15}, {'ngram': 'see', 'count': 15}, {'ngram': 'amp', 'count': 13}, {'ngram': 'conveyor', 'count': 13}, {'ngram': 'thanks', 'count': 13}, {'ngram': 'yes', 'count': 13}, {'ngram': '10', 'count': 12}]","[{'ngram': 'data set', 'count': 8}, {'ngram': '_colrange end', 'count': 6}, {'ngram': '_colrange start', 'count': 6}, {'ngram': 'amp _colrange', 'count': 6}, {'ngram': 'amp amp', 'count': 6}, {'ngram': 'lt _colrange', 'count': 6}, {'ngram': 'data sets', 'count': 4}, {'ngram': 'restart ui', 'count': 4}, {'ngram': 'set ready', 'count': 4}, {'ngram': '10 134', 'count': 3}]","[{'ngram': 'amp amp _colrange', 'count': 6}, {'ngram': 'data set ready', 'count': 4}, {'ngram': '10 134 234', 'count': 3}, {'ngram': '215 assertion failed', 'count': 3}, {'ngram': '777 error 215', 'count': 3}, {'ngram': '_colrange end amp', 'count': 3}, {'ngram': '_colrange end lt', 'count': 3}, {'ngram': '_colrange start amp', 'count': 3}, {'ngram': '_colrange start lt', 'count': 3}, {'ngram': 'amp _colrange end', 'count': 3}]","[('c8', 43)]","[('data set', 8)]","[('amp amp _colrange', 6)]"
24,40,"[{'ngram': 'c9', 'count': 13}, {'ngram': 'c8', 'count': 12}, {'ngram': 'please', 'count': 10}, {'ngram': 'send', 'count': 10}, {'ngram': 'bolts', 'count': 9}, {'ngram': 'nestle', 'count': 9}, {'ngram': 'thanks', 'count': 9}, {'ngram': 'new', 'count': 8}, {'ngram': 'need', 'count': 7}, {'ngram': 'shoulder', 'count': 7}]","[{'ngram': 'shoulder bolts', 'count': 5}, {'ngram': 'please send', 'count': 4}, {'ngram': 'test cards', 'count': 4}, {'ngram': 'c8 c9', 'count': 3}, {'ngram': 'calibration files', 'count': 3}, {'ngram': 'marc boyd', 'count': 3}, {'ngram': 'new calibration', 'count': 3}, {'ngram': 'recent changes', 'count': 3}, {'ngram': 'test card', 'count': 3}, {'ngram': 'bolts original', 'count': 2}]","[{'ngram': 'bolts original strut', 'count': 2}, {'ngram': 'boyd us nestle', 'count': 2}, {'ngram': 'brain surgery underway', 'count': 2}, {'ngram': 'complete coming back', 'count': 2}, {'ngram': 'marc boyd us', 'count': 2}, {'ngram': 'original strut mount', 'count': 2}, {'ngram': 'shoulder bolts original', 'count': 2}, {'ngram': 'test card results', 'count': 2}, {'ngram': 'transplant complete coming', 'count': 2}, {'ngram': 'us nestle com', 'count': 2}]","[('c9', 13)]","[('shoulder bolts', 5)]","[('bolts original strut', 2), ('boyd us nestle', 2), ('brain surgery underway', 2), ('complete coming back', 2), ('marc boyd us', 2), ('original strut mount', 2), ('shoulder bolts original', 2), ('test card results', 2), ('transplant complete coming', 2), ('us nestle com', 2)]"
25,41,"[{'ngram': 'machine', 'count': 5}, {'ngram': 'release', 'count': 5}, {'ngram': 'cloud', 'count': 4}, {'ngram': 'didn', 'count': 4}, {'ngram': 'morning', 'count': 4}, {'ngram': 'see', 'count': 4}, {'ngram': 'account', 'count': 3}, {'ngram': 'customer', 'count': 3}, {'ngram': 'info', 'count': 3}, {'ngram': 'l5', 'count': 3}]","[{'ngram': 'concrete anchors', 'count': 2}, {'ngram': 'didn get', 'count': 2}, {'ngram': 'install new', 'count': 2}, {'ngram': 'release info', 'count': 2}, {'ngram': 'sept release', 'count': 2}, {'ngram': 'ups account', 'count': 2}, {'ngram': '10 10', 'count': 1}, {'ngram': '10 58am', 'count': 1}, {'ngram': '1f37vb1gf6kavu_djtbavmdvqfs429xdpvhzvchb2qeg edit', 'count': 1}, {'ngram': '30am rejecting', 'count': 1}]","[{'ngram': '10 10 58am', 'count': 1}, {'ngram': '1f37vb1gf6kavu_djtbavmdvqfs429xdpvhzvchb2qeg edit gid', 'count': 1}, {'ngram': '30am rejecting little', 'count': 1}, {'ngram': '788658230 it testing', 'count': 1}, {'ngram': 'account 788658230 it', 'count': 1}, {'ngram': 'account x9613y fedex', 'count': 1}, {'ngram': 'added page overall', 'count': 1}, {'ngram': 'additional products helpful', 'count': 1}, {'ngram': 'agreed think machine', 'count': 1}, {'ngram': 'agreed whatever do', 'count': 1}]","[('machine', 5), ('release', 5)]","[('concrete anchors', 2), ('didn get', 2), ('install new', 2), ('release info', 2), ('sept release', 2), ('ups account', 2)]","[('10 10 58am', 1), ('1f37vb1gf6kavu_djtbavmdvqfs429xdpvhzvchb2qeg edit gid', 1), ('30am rejecting little', 1), ('788658230 it testing', 1), ('account 788658230 it', 1), ('account x9613y fedex', 1), ('added page overall', 1), ('additional products helpful', 1), ('agreed think machine', 1), ('agreed whatever do', 1)]"
26,42,"[{'ngram': 'like', 'count': 7}, {'ngram': 'box', 'count': 6}, {'ngram': 'get', 'count': 6}, {'ngram': 'images', 'count': 6}, {'ngram': '10', 'count': 5}, {'ngram': 'nestle', 'count': 5}, {'ngram': '2022', 'count': 4}, {'ngram': 'getting', 'count': 4}, {'ngram': 'hot', 'count': 4}, {'ngram': 'image', 'count': 4}]","[{'ngram': 'hot pockets', 'count': 4}, {'ngram': 'carton sealer', 'count': 3}, {'ngram': 'double images', 'count': 3}, {'ngram': '20 packs', 'count': 2}, {'ngram': 'code change', 'count': 2}, {'ngram': 'dark region', 'count': 2}, {'ngram': 'diagonal boxes', 'count': 2}, {'ngram': 'getting double', 'count': 2}, {'ngram': 'next package', 'count': 2}, {'ngram': 'pepp pizza', 'count': 2}]","[{'ngram': 'getting double images', 'count': 2}, {'ngram': 'pk pepp pizza', 'count': 2}, {'ngram': '10 17 2022', 'count': 1}, {'ngram': '10 18 2022', 'count': 1}, {'ngram': '10 19 1am', 'count': 1}, {'ngram': '10 2010 31', 'count': 1}, {'ngram': '10 24 2022', 'count': 1}, {'ngram': '11007858 12 pk', 'count': 1}, {'ngram': '12 20 packs', 'count': 1}, {'ngram': '12 pk pepp', 'count': 1}]","[('like', 7)]","[('hot pockets', 4)]","[('getting double images', 2), ('pk pepp pizza', 2)]"
27,43,"[{'ngram': 'c9', 'count': 43}, {'ngram': 'c8', 'count': 33}, {'ngram': 'black', 'count': 30}, {'ngram': 'image', 'count': 24}, {'ngram': 'line', 'count': 20}, {'ngram': 'running', 'count': 20}, {'ngram': 'screen', 'count': 19}, {'ngram': 'issue', 'count': 18}, {'ngram': 'images', 'count': 17}, {'ngram': 'ray', 'count': 17}]","[{'ngram': 'black image', 'count': 10}, {'ngram': 'sync loss', 'count': 10}, {'ngram': 'dc sync', 'count': 9}, {'ngram': '20 pack', 'count': 8}, {'ngram': 'loss issue', 'count': 8}, {'ngram': 'black images', 'count': 7}, {'ngram': 'black screen', 'count': 7}, {'ngram': 'image screen', 'count': 6}, {'ngram': 'line ground', 'count': 6}, {'ngram': '17 pack', 'count': 5}]","[{'ngram': 'dc sync loss', 'count': 9}, {'ngram': 'sync loss issue', 'count': 8}, {'ngram': '118 line ground', 'count': 4}, {'ngram': 'black image screen', 'count': 4}, {'ngram': 'issue less 30', 'count': 4}, {'ngram': 'less 30 minutes', 'count': 4}, {'ngram': 'loss issue less', 'count': 4}, {'ngram': '24 11 vdc', 'count': 3}, {'ngram': 'pm utc 2022', 'count': 3}, {'ngram': '20 pack product', 'count': 2}]","[('c9', 43)]","[('black image', 10), ('sync loss', 10)]","[('dc sync loss', 9)]"
28,44,"[{'ngram': 'file', 'count': 37}, {'ngram': 'calibration', 'count': 35}, {'ngram': 'desync', 'count': 34}, {'ngram': 'one', 'count': 32}, {'ngram': 'process', 'count': 32}, {'ngram': 'cpu', 'count': 28}, {'ngram': 'dcr', 'count': 28}, {'ngram': 'that', 'count': 24}, {'ngram': 'time', 'count': 24}, {'ngram': 'core', 'count': 23}]","[{'ngram': 'calibration file', 'count': 22}, {'ngram': 'one core', 'count': 10}, {'ngram': '17 pack', 'count': 8}, {'ngram': 'cal file', 'count': 8}, {'ngram': 'high res', 'count': 6}, {'ngram': '12 ct', 'count': 5}, {'ngram': '12 pack', 'count': 5}, {'ngram': 'calibration files', 'count': 5}, {'ngram': 'cpu usage', 'count': 5}, {'ngram': 'main thread', 'count': 5}]","[{'ngram': '12 ct nov', 'count': 3}, {'ngram': 'dcr log file', 'count': 3}, {'ngram': 'gs edge cv', 'count': 3}, {'ngram': 'pizza 12 ct', 'count': 3}, {'ngram': '11007858 pepp pizza', 'count': 2}, {'ngram': '12 pack calibration', 'count': 2}, {'ngram': '17 pack cal', 'count': 2}, {'ngram': 'able reproduce desync', 'count': 2}, {'ngram': 'calibration file old', 'count': 2}, {'ngram': 'carrera calibration file', 'count': 2}]","[('file', 37)]","[('calibration file', 22)]","[('12 ct nov', 3), ('dcr log file', 3), ('gs edge cv', 3), ('pizza 12 ct', 3)]"
29,45,"[{'ngram': '12', 'count': 11}, {'ngram': 'nestle', 'count': 11}, {'ngram': 'days', 'count': 7}, {'ngram': 'pack', 'count': 7}, {'ngram': 'running', 'count': 6}, {'ngram': 'week', 'count': 6}, {'ngram': 'bigger', 'count': 5}, {'ngram': 'can', 'count': 5}, {'ngram': 'data', 'count': 5}, {'ngram': 'donna', 'count': 5}]","[{'ngram': '12 pack', 'count': 6}, {'ngram': 'big 12', 'count': 3}, {'ngram': 'next week', 'count': 3}, {'ngram': '08 10', 'count': 2}, {'ngram': '12 count', 'count': 2}, {'ngram': '12 packs', 'count': 2}, {'ngram': 'can find', 'count': 2}, {'ngram': 'compliance images', 'count': 2}, {'ngram': 'last days', 'count': 2}, {'ngram': 'looks like', 'count': 2}]","[{'ngram': 'big 12 pack', 'count': 2}, {'ngram': 'nestle machines reachable', 'count': 2}, {'ngram': 'nov 08 10', 'count': 2}, {'ngram': 'pm utc 2022', 'count': 2}, {'ngram': 'start tue nov', 'count': 2}, {'ngram': 'started start tue', 'count': 2}, {'ngram': 'syncloss started start', 'count': 2}, {'ngram': 'tue nov 08', 'count': 2}, {'ngram': '04 08 494', 'count': 1}, {'ngram': '04 160 pm', 'count': 1}]","[('12', 11), ('nestle', 11)]","[('12 pack', 6)]","[('big 12 pack', 2), ('nestle machines reachable', 2), ('nov 08 10', 2), ('pm utc 2022', 2), ('start tue nov', 2), ('started start tue', 2), ('syncloss started start', 2), ('tue nov 08', 2)]"
30,46,"[{'ngram': '12', 'count': 1}, {'ngram': 'bad', 'count': 1}, {'ngram': 'black', 'count': 1}, {'ngram': 'can', 'count': 1}, {'ngram': 'count', 'count': 1}, {'ngram': 'detector', 'count': 1}, {'ngram': 'fix', 'count': 1}, {'ngram': 'high', 'count': 1}, {'ngram': 'hopefully', 'count': 1}, {'ngram': 'maintenance', 'count': 1}]","[{'ngram': '12 count', 'count': 1}, {'ngram': 'bad sotware', 'count': 1}, {'ngram': 'black screen', 'count': 1}, {'ngram': 'can sense', 'count': 1}, {'ngram': 'count pepperoni', 'count': 1}, {'ngram': 'detector own', 'count': 1}, {'ngram': 'fix hopefully', 'count': 1}, {'ngram': 'high maintenance', 'count': 1}, {'ngram': 'hopefully week', 'count': 1}, {'ngram': 'maintenance bad', 'count': 1}]","[{'ngram': '12 count pepperoni', 'count': 1}, {'ngram': 'bad sotware can', 'count': 1}, {'ngram': 'black screen send', 'count': 1}, {'ngram': 'can sense black', 'count': 1}, {'ngram': 'detector own still', 'count': 1}, {'ngram': 'fix hopefully week', 'count': 1}, {'ngram': 'high maintenance bad', 'count': 1}, {'ngram': 'maintenance bad sotware', 'count': 1}, {'ngram': 'own still 12', 'count': 1}, {'ngram': 'resync signal detector', 'count': 1}]","[('12', 1), ('bad', 1), ('black', 1), ('can', 1), ('count', 1), ('detector', 1), ('fix', 1), ('high', 1), ('hopefully', 1), ('maintenance', 1)]","[('12 count', 1), ('bad sotware', 1), ('black screen', 1), ('can sense', 1), ('count pepperoni', 1), ('detector own', 1), ('fix hopefully', 1), ('high maintenance', 1), ('hopefully week', 1), ('maintenance bad', 1)]","[('12 count pepperoni', 1), ('bad sotware can', 1), ('black screen send', 1), ('can sense black', 1), ('detector own still', 1), ('fix hopefully week', 1), ('high maintenance bad', 1), ('maintenance bad sotware', 1), ('own still 12', 1), ('resync signal detector', 1)]"
31,47,"[{'ngram': '10', 'count': 2}, {'ngram': 'data', 'count': 2}, {'ngram': 'wc', 'count': 2}, {'ngram': '0mm', 'count': 1}, {'ngram': 'collected', 'count': 1}, {'ngram': 'completing', 'count': 1}, {'ngram': 'contams', 'count': 1}, {'ngram': 'detected', 'count': 1}, {'ngram': 'drive', 'count': 1}, {'ngram': 'fm', 'count': 1}]","[{'ngram': '0mm 10', 'count': 1}, {'ngram': '10 10', 'count': 1}, {'ngram': '10 machines', 'count': 1}, {'ngram': 'collected full', 'count': 1}, {'ngram': 'completing testing', 'count': 1}, {'ngram': 'data report', 'count': 1}, {'ngram': 'data set', 'count': 1}, {'ngram': 'detected 0mm', 'count': 1}, {'ngram': 'drive completing', 'count': 1}, {'ngram': 'fm data', 'count': 1}]","[{'ngram': '0mm 10 10', 'count': 1}, {'ngram': '10 10 machines', 'count': 1}, {'ngram': 'collected full fm', 'count': 1}, {'ngram': 'completing testing needed', 'count': 1}, {'ngram': 'data report next', 'count': 1}, {'ngram': 'data set contams', 'count': 1}, {'ngram': 'detected 0mm 10', 'count': 1}, {'ngram': 'drive completing testing', 'count': 1}, {'ngram': 'fm data set', 'count': 1}, {'ngram': 'full fm data', 'count': 1}]","[('10', 2), ('data', 2), ('wc', 2)]","[('0mm 10', 1), ('10 10', 1), ('10 machines', 1), ('collected full', 1), ('completing testing', 1), ('data report', 1), ('data set', 1), ('detected 0mm', 1), ('drive completing', 1), ('fm data', 1)]","[('0mm 10 10', 1), ('10 10 machines', 1), ('collected full fm', 1), ('completing testing needed', 1), ('data report next', 1), ('data set contams', 1), ('detected 0mm 10', 1), ('drive completing testing', 1), ('fm data set', 1), ('full fm data', 1)]"
32,48,"[{'ngram': '12', 'count': 3}, {'ngram': 'cloud', 'count': 3}, {'ngram': 'data', 'count': 3}, {'ngram': 'bug', 'count': 2}, {'ngram': 'fyi', 'count': 2}, {'ngram': 'got', 'count': 2}, {'ngram': 'machines', 'count': 2}, {'ngram': 'pepperoni', 'count': 2}, {'ngram': 'release', 'count': 2}, {'ngram': 'smile', 'count': 2}]","[{'ngram': 'data cloud', 'count': 2}, {'ngram': '12 12', 'count': 1}, {'ngram': '12 ct', 'count': 1}, {'ngram': '12 pack', 'count': 1}, {'ngram': '30 9ish', 'count': 1}, {'ngram': '9ish issues', 'count': 1}, {'ngram': 'active cv', 'count': 1}, {'ngram': 'albi already', 'count': 1}, {'ngram': 'already fixed', 'count': 1}, {'ngram': 'are 12', 'count': 1}]","[{'ngram': '12 12 ct', 'count': 1}, {'ngram': '12 ct pepperoni', 'count': 1}, {'ngram': '12 pack pepperoni', 'count': 1}, {'ngram': '30 9ish issues', 'count': 1}, {'ngram': '9ish issues line', 'count': 1}, {'ngram': 'active cv sending', 'count': 1}, {'ngram': 'albi already fixed', 'count': 1}, {'ngram': 'already fixed it', 'count': 1}, {'ngram': 'are 12 pack', 'count': 1}, {'ngram': 'around 30 9ish', 'count': 1}]","[('12', 3), ('cloud', 3), ('data', 3)]","[('data cloud', 2)]","[('12 12 ct', 1), ('12 ct pepperoni', 1), ('12 pack pepperoni', 1), ('30 9ish issues', 1), ('9ish issues line', 1), ('active cv sending', 1), ('albi already fixed', 1), ('already fixed it', 1), ('are 12 pack', 1), ('around 30 9ish', 1)]"
33,49,"[{'ngram': 'reject', 'count': 7}, {'ngram': '12', 'count': 6}, {'ngram': 'back', 'count': 6}, {'ngram': 'release', 'count': 6}, {'ngram': 'testing', 'count': 6}, {'ngram': 'nov', 'count': 5}, {'ngram': 'ran', 'count': 5}, {'ngram': 'pack', 'count': 4}, {'ngram': 'red', 'count': 4}, {'ngram': 'branch', 'count': 3}]","[{'ngram': 'nov release', 'count': 5}, {'ngram': '12 count', 'count': 3}, {'ngram': '12 pack', 'count': 3}, {'ngram': '11 30', 'count': 2}, {'ngram': '30 22', 'count': 2}, {'ngram': 'back through', 'count': 2}, {'ngram': 'gsai cards', 'count': 2}, {'ngram': 'hot pocket', 'count': 2}, {'ngram': 'red reject', 'count': 2}, {'ngram': 'reject occurred', 'count': 2}]","[{'ngram': '11 30 22', 'count': 2}, {'ngram': 'testing 11 30', 'count': 2}, {'ngram': '1100 est machine', 'count': 1}, {'ngram': '12 count back', 'count': 1}, {'ngram': '12 count box', 'count': 1}, {'ngram': '12 count pepperoni', 'count': 1}, {'ngram': '12 pack pep', 'count': 1}, {'ngram': '12 pack pepperoni', 'count': 1}, {'ngram': '12 pack testing', 'count': 1}, {'ngram': '22 gsai cards', 'count': 1}]","[('reject', 7)]","[('nov release', 5)]","[('11 30 22', 2), ('testing 11 30', 2)]"
34,50,"[{'ngram': 'pepperoni', 'count': 5}, {'ngram': 'running', 'count': 5}, {'ngram': 'today', 'count': 4}, {'ngram': '12pk', 'count': 3}, {'ngram': 'calibration', 'count': 3}, {'ngram': 'file', 'count': 3}, {'ngram': 'test', 'count': 3}, {'ngram': '4c', 'count': 2}, {'ngram': 'back', 'count': 2}, {'ngram': 'cheese', 'count': 2}]","[{'ngram': '12pk pepperoni', 'count': 3}, {'ngram': 'calibration file', 'count': 3}, {'ngram': 'ct product', 'count': 2}, {'ngram': 'good news', 'count': 2}, {'ngram': '17 ct', 'count': 1}, {'ngram': '20 ct', 'count': 1}, {'ngram': '2023 begin', 'count': 1}, {'ngram': '20ct pepperoni', 'count': 1}, {'ngram': '4c c8', 'count': 1}, {'ngram': 'acceptance today', 'count': 1}]","[{'ngram': '12pk pepperoni calibration', 'count': 1}, {'ngram': '12pk pepperoni performed', 'count': 1}, {'ngram': '12pk pepperoni today', 'count': 1}, {'ngram': '17 ct product', 'count': 1}, {'ngram': '20 ct product', 'count': 1}, {'ngram': '2023 begin tuesday', 'count': 1}, {'ngram': '4c c8 line', 'count': 1}, {'ngram': 'acceptance today two', 'count': 1}, {'ngram': 'addition reported running', 'count': 1}, {'ngram': 'again post minutes', 'count': 1}]","[('pepperoni', 5), ('running', 5)]","[('12pk pepperoni', 3), ('calibration file', 3)]","[('12pk pepperoni calibration', 1), ('12pk pepperoni performed', 1), ('12pk pepperoni today', 1), ('17 ct product', 1), ('20 ct product', 1), ('2023 begin tuesday', 1), ('4c c8 line', 1), ('acceptance today two', 1), ('addition reported running', 1), ('again post minutes', 1)]"
